t_sec,elbow_deg,spine_deg,head_over_knee_px,foot_deg
16.7,,-166.49699900724536,2.7490711212158203,176.20661123223636
19.3,,-165.33801896429213,2.6895689964294434,171.69578129354133
19.5,,-164.3695379947731,1.3071799278259277,172.33544997293416
19.7,,-164.34159871760426,1.0877108573913574,173.0843650461823
19.8,,-164.06420748460312,0.1408696174621582,174.19897792371046
20.0,,-164.84064878519587,0.5415701866149902,177.50847949988417
20.1,,-163.14469518774197,0.5706453323364258,176.1419812984104
21.1,,-163.45484754949806,1.6481637954711914,175.18028766065655
21.3,,-163.71765009624323,2.1687912940979004,175.4098430554702
21.4,,-163.7899107907795,2.1253609657287598,173.50781162358865
21.5,,-162.51008718552782,2.1274209022521973,175.6823336479323
21.7,,-162.61101427211523,3.2768654823303223,175.80919998118188
21.8,,-163.5170013701857,4.8784661293029785,176.01102154445172
22.0,,-163.81964059794655,7.175102233886719,176.01711001399275
22.1,,-163.59223104799372,6.796932220458984,176.214551571695
23.0,,-162.91246422595154,6.153116226196289,174.75060454570294
23.3,,-162.44365866912707,5.727975368499756,172.5810248654299
23.5,,-160.39761469420097,4.785833358764648,174.16865993358144
23.7,142.1458660341314,-159.85525300827135,22.768328189849854,167.8239385839186
23.9,,-159.74488509306013,7.096309661865234,163.09298262364413
25.4,103.03030356674269,-159.82639942594056,26.921203136444092,166.3451417860479
25.6,118.45213507511741,-160.62256914546322,28.076419830322266,168.18845433764972
25.7,,-162.18257404296895,12.35637903213501,168.53881855989067
25.9,,-162.46630522655863,12.54288911819458,171.7548795784817
26.0,,-162.76906564524418,11.83527946472168,166.82829006067288
26.1,,-162.23922050111014,12.624728679656982,172.75721154428143
26.3,,-164.25953303898862,9.32464599609375,169.0796748130534
27.2,,-164.38000916272827,9.553406238555908,171.19462804428517
27.3,,-165.84997050574054,8.364672660827637,169.6618278049536
27.5,,-166.51237717897556,11.07421875,164.58504930169377
27.6,,-166.15279734815638,12.422103881835938,151.76369083950567
27.7,59.619661749997846,-166.14069290398464,32.685227394104004,159.33417956336075
27.8,63.30221313820872,-164.85844324659686,30.935075283050537,167.6990587592618
28.0,65.77580609561028,-162.92773582806223,34.30103302001953,112.15319512200003
28.2,56.61224831900039,-160.6442700731047,38.65885019302368,78.22636987376784
29.1,56.28376647037791,-155.30967802424198,37.606351375579834,145.52176780784123
29.2,132.24931372276095,-155.37548766838512,41.59964561462402,170.83531222785774
29.3,121.47568655275647,-151.7451150709661,40.194854736328125,165.6296287488384
29.5,39.33279601602034,-152.20284276772355,16.976516246795654,133.9389469506246
29.6,75.25722118061437,-154.46793676415763,18.666694164276123,134.86941534420518
29.7,70.88844941988054,-153.68174400553437,22.432451248168945,164.76661022721035
29.8,65.30967220668418,-154.64821851791686,23.580565452575684,164.8684355585157
30.0,79.31727283575913,-154.794399974126,22.81235933303833,158.286030807103
30.1,49.05910801876796,-154.82460109703646,24.865386486053467,132.5284977105552
30.8,40.607558595377355,-156.1562614592964,21.337788105010986,119.8455476347532
30.9,39.62813009220386,-156.25803476160627,19.34741735458374,132.12947853778277
31.1,72.5134828955137,-155.55871233129832,36.49799823760986,52.11528414854605
31.2,37.80164196144556,-155.849821928861,36.90552234649658,57.61107427928354
31.3,15.410560612283202,-156.1202148413954,39.940645694732666,76.43320481963892
31.4,92.20945283336452,-156.10068163064497,39.68107223510742,123.14421622309044
31.6,90.84546315055526,-156.19289449306314,34.91929292678833,147.0445273945921
31.7,121.123153547864,-155.96469168721924,34.44265365600586,130.21389949878267
32.4,145.4264918108812,-156.2845080634906,33.779826164245605,132.86463098398391
32.6,25.61028144085065,-157.10558481568927,34.71312761306763,136.69603868179522
32.7,93.31683826100146,-157.33872456098155,36.97867155075073,135.70994164865465
32.9,124.26070377246138,-158.67063265207594,43.32113027572632,150.39514513793983
33.0,126.8620355928739,-159.25667914090718,40.91688394546509,129.6205617858083
33.2,141.6302810117631,-162.28920761535812,38.475000858306885,141.51801167611595
33.3,142.7794698785139,-165.85227900545567,34.984867572784424,139.76495283644323
33.4,144.517653516629,-169.73216936698896,28.174631595611572,134.94386669423622
34.2,167.91962741920358,-175.44740224683466,20.61635971069336,149.63523665352693
34.3,171.12457075688673,-177.10973516466586,14.849739074707031,171.30035793171012
34.4,165.76319043078624,-176.17992455006066,16.582810878753662,-179.325925108064
34.5,162.9343781636887,-178.97072722733247,14.329690933227539,-179.31994029198674
34.6,166.59872340316534,-179.7565823166767,1.894669532775879,14.251575442297982
34.7,173.69908692979664,175.74509804398093,7.279601097106934,169.82945332951957
34.8,171.4422697170478,177.55621673588524,9.414939880371094,172.33890502801816
35.0,172.9880476566766,176.9398698239038,15.099270343780518,161.6123745083448
